2.439741,2.459198,2.359967,2.093301,1.167868,1.906224,1.861665,1.335135,1.442607,1.755442,1.454952,1.348819,1.520791,1.936089,1.166062,0.009131162,-0.9964769,0.0833698,0
2.437882,2.497895,2.411078,2.098639,1.169043,1.938628,1.832332,1.358297,1.453844,1.680951,1.537684,1.328652,1.381838,2.089233,1.130201,0.009353344,-0.9982471,0.05843925,0
2.445487,2.468172,2.341604,2.082726,1.171937,1.913733,1.833505,1.353444,1.463105,1.717302,1.502599,1.321805,1.490802,1.992732,1.147967,0.0002115374,-0.9987723,0.049536,0
2.450052,2.468803,2.321331,2.061737,1.198653,1.916915,1.814962,1.386345,1.462765,1.658667,1.572936,1.288688,1.39263,2.108862,1.087258,0.008507122,-0.998989,0.04414228,0
2.40761,2.473628,2.340219,2.128175,1.123118,1.973377,1.861908,1.341132,1.491233,1.727553,1.508231,1.359867,1.508974,1.986671,1.217214,0.00583162,-0.9999788,-0.00289615,0
2.445469,2.504223,2.337892,2.048687,1.210528,1.923915,1.796678,1.401027,1.46943,1.661053,1.564906,1.331038,1.413867,2.08287,1.16287,0.01061436,-0.9998229,0.01554055,0
2.441776,2.540561,2.337232,2.039874,1.269128,1.921477,1.767428,1.444464,1.474122,1.625327,1.5909,1.386145,1.376869,2.109699,1.214914,0.01118936,-0.9997146,-0.02110456,0
2.82778,3.036052,2.957485,2.224195,2.425344,2.939135,2.272094,2.723379,2.778786,2.09298,2.142473,2.21123,2.105372,2.285001,0.9637716,0.01733397,-0.9997792,0.01187796,0
2.739333,2.966589,3.102039,2.592398,2.772686,1.21758,2.588115,2.687659,2.158318,2.638138,2.002016,2.276448,2.350463,2.235756,2.731163,0.02449922,-0.1671104,-0.9856337,0
2.426347,2.542217,2.382239,2.046752,1.17124,1.984077,1.786285,1.388615,1.474374,1.607548,1.576117,1.344841,1.288836,2.183163,1.049171,-0.2102905,-0.5374874,-0.8166303,0
2.817894,2.828699,3.043439,2.205925,1.738835,2.728347,1.81648,1.857014,2.813775,1.824304,1.561979,2.878878,1.817743,1.607949,2.817747,-0.4336936,-0.6028082,-0.6697254,0
2.427732,2.535038,2.39402,1.992479,1.267226,1.981071,1.720156,1.449761,1.493999,1.558324,1.613769,1.397086,1.279387,2.166088,1.186791,-0.2341046,-0.9715146,-0.0368034,0
